open,high,low,close,volume,datetime
335.35,338.0,329.78,334.75,28918013,2022-01-03 01:00:00-05:00
334.83,335.2,326.12,329.01,32674306,2022-01-04 01:00:00-05:00
325.86,326.07,315.98,316.38,40054327,2022-01-05 01:00:00-05:00
313.15,318.7,311.49,313.88,39646148,2022-01-06 01:00:00-05:00
314.15,316.5,310.09,314.04,32720018,2022-01-07 01:00:00-05:00
309.485,314.72,304.69,314.27,44289467,2022-01-10 01:00:00-05:00
313.38,316.61,309.89,314.98,29386774,2022-01-11 01:00:00-05:00
319.67,323.41,317.08,318.27,34372217,2022-01-12 01:00:00-05:00
320.4658,320.88,304.0,304.8,45365979,2022-01-13 01:00:00-05:00
304.25,310.82,303.75,310.2,39846414,2022-01-14 01:00:00-05:00
304.07,309.8,301.74,302.65,42434112,2022-01-18 01:00:00-05:00
306.29,313.9093,302.7,303.33,45933855,2022-01-19 01:00:00-05:00
309.07,311.6494,301.14,301.6,35380675,2022-01-20 01:00:00-05:00
302.685,304.11,295.61,296.03,57984403,2022-01-21 01:00:00-05:00
292.2,297.11,276.05,296.37,86035393,2022-01-24 01:00:00-05:00
291.52,294.99,285.17,288.49,72848638,2022-01-25 01:00:00-05:00
307.985,308.5,293.03,296.71,90428853,2022-01-26 01:00:00-05:00
302.66,307.3,297.93,299.84,53481317,2022-01-27 01:00:00-05:00
300.23,308.48,294.45,308.26,49743698,2022-01-28 01:00:00-05:00
308.95,312.38,306.37,310.98,46444536,2022-01-31 01:00:00-05:00
310.41,310.63,305.1293,308.76,40950396,2022-02-01 01:00:00-05:00
309.63,315.12,308.88,313.46,36635989,2022-02-02 01:00:00-05:00
309.49,311.23,299.96,301.25,43729972,2022-02-03 01:00:00-05:00
300.21,308.8,299.97,305.94,35096488,2022-02-04 01:00:00-05:00
306.17,307.84,299.9,300.95,28533286,2022-02-07 01:00:00-05:00
301.25,305.561,299.95,304.56,32421188,2022-02-08 01:00:00-05:00
309.865,311.93,307.39,311.21,31284671,2022-02-09 01:00:00-05:00
304.04,309.12,300.7,302.38,45386199,2022-02-10 01:00:00-05:00
303.19,304.29,294.22,295.04,39175620,2022-02-11 01:00:00-05:00
293.77,296.76,291.35,295.0,36359487,2022-02-14 01:00:00-05:00
300.008,300.8,297.02,300.47,27379488,2022-02-15 01:00:00-05:00
298.365,300.87,293.68,299.5,29982121,2022-02-16 01:00:00-05:00
296.36,296.8,290.0,290.73,32461580,2022-02-17 01:00:00-05:00
293.05,293.86,286.305,287.93,34264008,2022-02-18 01:00:00-05:00
285.0,291.54,284.5,287.72,41736117,2022-02-22 01:00:00-05:00
290.18,291.7,280.1,280.27,37811167,2022-02-23 01:00:00-05:00
272.51,295.16,271.52,294.59,56989686,2022-02-24 01:00:00-05:00
295.14,297.63,291.655,297.31,32546721,2022-02-25 01:00:00-05:00
294.31,299.14,293.0,298.79,34627457,2022-02-28 01:00:00-05:00
296.4,299.97,292.15,294.95,31217778,2022-03-01 01:00:00-05:00
295.36,301.47,293.698,300.19,31873007,2022-03-02 01:00:00-05:00
302.89,303.13,294.05,295.92,27314469,2022-03-03 01:00:00-05:00
294.29,295.66,287.165,289.86,32369655,2022-03-04 01:00:00-05:00
288.53,289.69,278.53,278.91,43157178,2022-03-07 01:00:00-05:00
277.8,283.96,270.0,275.85,48159475,2022-03-08 01:00:00-05:00
283.44,289.6,280.78,288.5,35204480,2022-03-09 01:00:00-05:00
283.02,286.6,280.58,285.59,30628012,2022-03-10 01:00:00-05:00
287.96,289.51,279.43,280.07,27209330,2022-03-11 01:00:00-05:00
280.34,285.3992,275.82,276.44,30660747,2022-03-14 01:00:00-04:00
280.35,287.82,278.725,287.15,34245085,2022-03-15 01:00:00-04:00
289.11,294.57,283.2,294.39,37826329,2022-03-16 01:00:00-04:00
293.29,295.61,289.37,295.22,30816633,2022-03-17 01:00:00-04:00
295.37,301.0,292.73,300.43,43390625,2022-03-18 01:00:00-04:00
298.89,300.14,294.9,299.16,28351245,2022-03-21 01:00:00-04:00
299.8,305.0,298.77,304.06,27599689,2022-03-22 01:00:00-04:00
300.51,303.23,297.7201,299.49,25715377,2022-03-23 01:00:00-04:00
299.14,304.2,298.315,304.1,24484456,2022-03-24 01:00:00-04:00
305.23,305.5,299.2855,303.68,22566453,2022-03-25 01:00:00-04:00
304.33,310.8,304.33,310.7,29578188,2022-03-28 01:00:00-04:00
313.91,315.82,309.05,315.41,30393403,2022-03-29 01:00:00-04:00
313.76,315.95,311.58,313.86,28163555,2022-03-30 01:00:00-04:00
313.9,315.14,307.89,308.31,33422070,2022-03-31 01:00:00-04:00
309.37,310.13,305.54,309.42,27110529,2022-04-01 01:00:00-04:00
310.09,315.11,309.71,314.97,24335868,2022-04-04 01:00:00-04:00
313.27,314.865,309.87,310.88,23156719,2022-04-05 01:00:00-04:00
305.19,307.0,296.71,299.5,40110372,2022-04-06 01:00:00-04:00
296.66,303.65,296.35,301.37,31411155,2022-04-07 01:00:00-04:00
300.44,301.12,296.28,296.97,24361917,2022-04-08 01:00:00-04:00
291.79,292.61,285.0,285.26,34569264,2022-04-11 01:00:00-04:00
289.235,290.739,280.49,282.06,30966721,2022-04-12 01:00:00-04:00
282.73,288.58,281.3,287.62,21907176,2022-04-13 01:00:00-04:00
288.09,288.305,279.32,279.83,28221607,2022-04-14 01:00:00-04:00
278.91,282.46,278.34,280.52,20778000,2022-04-18 01:00:00-04:00
279.38,286.17,278.41,285.3,22297720,2022-04-19 01:00:00-04:00
289.4,289.7,285.3702,286.36,22906667,2022-04-20 01:00:00-04:00
288.58,293.3,280.06,280.81,29454587,2022-04-21 01:00:00-04:00
281.68,283.2,273.38,274.03,29405798,2022-04-22 01:00:00-04:00
273.29,281.11,270.77,280.72,35678852,2022-04-25 01:00:00-04:00
277.5,278.3599,270.0,270.22,46518445,2022-04-26 01:00:00-04:00
282.1,290.97,279.16,283.22,63477694,2022-04-27 01:00:00-04:00
285.185,290.98,281.4562,289.63,33646570,2022-04-28 01:00:00-04:00
288.61,289.88,276.5,277.52,37073923,2022-04-29 01:00:00-04:00
277.71,284.94,276.22,284.47,35151105,2022-05-02 01:00:00-04:00
283.96,284.13,280.15,281.78,25978605,2022-05-03 01:00:00-04:00
282.59,290.88,276.73,289.98,33599320,2022-05-04 01:00:00-04:00
285.54,286.35,274.34,277.35,43260386,2022-05-05 01:00:00-04:00
274.805,279.25,271.27,274.73,37780322,2022-05-06 01:00:00-04:00
270.06,272.36,263.32,264.58,47725952,2022-05-09 01:00:00-04:00
271.69,273.75,265.07,269.5,39336424,2022-05-10 01:00:00-04:00
265.68,271.36,259.3,260.55,48975898,2022-05-11 01:00:00-04:00
257.69,259.88,250.02,255.35,51033802,2022-05-12 01:00:00-04:00
257.35,263.04,255.35,261.12,34925093,2022-05-13 01:00:00-04:00
259.955,265.82,255.78,261.5,32550933,2022-05-16 01:00:00-04:00
266.11,268.33,262.46,266.82,28828799,2022-05-17 01:00:00-04:00
263.0,263.6,252.77,254.08,31355985,2022-05-18 01:00:00-04:00
253.9,257.67,251.88,253.14,32692286,2022-05-19 01:00:00-04:00
257.24,258.54,246.44,252.56,39199279,2022-05-20 01:00:00-04:00
255.49,261.5,253.43,260.65,33175379,2022-05-23 01:00:00-04:00
257.89,261.33,253.5,259.62,29043904,2022-05-24 01:00:00-04:00
258.14,264.58,257.125,262.52,28547947,2022-05-25 01:00:00-04:00
262.27,267.11,261.4294,265.9,25002105,2022-05-26 01:00:00-04:00
268.48,273.34,267.56,273.24,26910806,2022-05-27 01:00:00-04:00
272.53,274.77,268.93,271.87,37827695,2022-05-31 01:00:00-04:00
275.195,277.69,270.04,272.42,25292174,2022-06-01 01:00:00-04:00
264.45,274.65,261.6,274.58,44008209,2022-06-02 01:00:00-04:00
270.31,273.45,268.41,270.02,28058958,2022-06-03 01:00:00-04:00
272.06,274.18,267.22,268.75,22400342,2022-06-06 01:00:00-04:00
266.635,273.13,265.94,272.5,22860677,2022-06-07 01:00:00-04:00
271.71,273.0,269.61,270.41,17372341,2022-06-08 01:00:00-04:00
267.78,272.7081,264.63,264.79,26439728,2022-06-09 01:00:00-04:00
260.58,260.58,252.53,252.99,31445841,2022-06-10 01:00:00-04:00
245.11,249.0242,241.53,242.26,46135788,2022-06-13 01:00:00-04:00
243.86,245.74,241.51,244.49,28651487,2022-06-14 01:00:00-04:00
248.31,255.3,246.42,251.76,33111729,2022-06-15 01:00:00-04:00
245.98,247.4174,243.02,244.97,33169160,2022-06-16 01:00:00-04:00
244.7,250.5,244.03,247.65,43084780,2022-06-17 01:00:00-04:00
250.255,254.75,249.51,253.74,29928297,2022-06-21 01:00:00-04:00
251.89,257.17,250.37,253.13,25961215,2022-06-22 01:00:00-04:00
255.57,259.37,253.63,258.86,25861449,2022-06-23 01:00:00-04:00
261.808,267.98,261.72,267.7,33923231,2022-06-24 01:00:00-04:00
268.205,268.3,263.28,264.89,24615114,2022-06-27 01:00:00-04:00
263.98,266.91,256.32,256.48,27380247,2022-06-28 01:00:00-04:00
257.59,261.97,255.76,260.26,20069839,2022-06-29 01:00:00-04:00
257.05,259.53,252.9,256.83,31730868,2022-06-30 01:00:00-04:00
256.39,259.77,254.61,259.58,22837692,2022-07-01 01:00:00-04:00
256.16,262.98,254.74,262.85,22971634,2022-07-05 01:00:00-04:00
263.75,267.99,262.4,266.21,23824419,2022-07-06 01:00:00-04:00
265.12,269.055,265.02,268.4,20859874,2022-07-07 01:00:00-04:00
264.79,268.1,263.285,267.66,19658751,2022-07-08 01:00:00-04:00
265.65,266.53,262.18,264.51,19519108,2022-07-11 01:00:00-04:00
265.88,265.94,252.04,253.67,35868450,2022-07-12 01:00:00-04:00
