open,high,low,close,volume,datetime
62.12,62.14,61.64,61.87,117098,2019-12-24 01:00:00-05:00
61.93,62.7,61.67,62.0,529379,2019-12-26 01:00:00-05:00
62.08,62.51,61.93,62.46,463484,2019-12-27 01:00:00-05:00
62.31,62.64,61.83,62.4,435448,2019-12-30 01:00:00-05:00
62.53,63.11,62.41,63.09,784386,2019-12-31 01:00:00-05:00
63.47,63.47,61.53,61.68,759332,2020-01-02 01:00:00-05:00
61.61,62.49,61.39,62.41,833529,2020-01-03 01:00:00-05:00
62.43,63.01,62.17,62.57,618258,2020-01-06 01:00:00-05:00
62.4,62.41,61.27,61.68,557151,2020-01-07 01:00:00-05:00
61.8,62.51,61.66,62.175,767718,2020-01-08 01:00:00-05:00
62.0,62.1,61.22,61.55,875648,2020-01-09 01:00:00-05:00
61.63,62.11,61.24,61.92,1207793,2020-01-10 01:00:00-05:00
61.86,62.2197,61.72,62.12,804048,2020-01-13 01:00:00-05:00
62.13,62.73,61.81,62.66,986217,2020-01-14 01:00:00-05:00
63.02,63.33,62.56,63.05,785536,2020-01-15 01:00:00-05:00
63.31,63.47,62.9903,63.25,605037,2020-01-16 01:00:00-05:00
63.22,63.71,63.14,63.2,750489,2020-01-17 01:00:00-05:00
63.38,64.0,63.03,63.85,666950,2020-01-21 01:00:00-05:00
63.73,64.31,63.44,63.61,503439,2020-01-22 01:00:00-05:00
63.77,64.105,63.22,64.08,437053,2020-01-23 01:00:00-05:00
63.88,64.08,63.4,63.785,459777,2020-01-24 01:00:00-05:00
63.33,63.64,63.05,63.33,604276,2020-01-27 01:00:00-05:00
63.16,63.98,63.13,63.75,762520,2020-01-28 01:00:00-05:00
63.59,63.85,62.925,62.97,436228,2020-01-29 01:00:00-05:00
62.79,62.98,61.9,62.39,672468,2020-01-30 01:00:00-05:00
62.37,62.42,61.72,62.04,799343,2020-01-31 01:00:00-05:00
62.39,62.75,61.82,61.92,1091798,2020-02-03 01:00:00-05:00
63.49,63.59,61.97,62.65,1312441,2020-02-04 01:00:00-05:00
62.79,63.59,62.63,63.44,682727,2020-02-05 01:00:00-05:00
63.69,64.05,63.36,63.51,448023,2020-02-06 01:00:00-05:00
63.54,63.8,62.88,63.12,382816,2020-02-07 01:00:00-05:00
63.52,63.85,63.22,63.8,728789,2020-02-10 01:00:00-05:00
63.77,64.36,62.31,62.65,690253,2020-02-11 01:00:00-05:00
62.69,62.955,62.18,62.31,1645823,2020-02-12 01:00:00-05:00
62.31,63.4,61.9,62.83,1595673,2020-02-13 01:00:00-05:00
63.13,64.09,62.44,64.02,1358698,2020-02-14 01:00:00-05:00
64.12,64.65,63.7,64.24,749666,2020-02-18 01:00:00-05:00
64.23,64.29,63.08,63.34,718814,2020-02-19 01:00:00-05:00
63.37,64.13,63.34,64.06,949437,2020-02-20 01:00:00-05:00
63.32,64.11,63.1868,63.68,1069238,2020-02-21 01:00:00-05:00
63.32,64.06,63.03,63.42,868584,2020-02-24 01:00:00-05:00
63.38,63.51,61.71,61.86,1801297,2020-02-25 01:00:00-05:00
61.91,63.74,61.4,61.45,2050053,2020-02-26 01:00:00-05:00
61.25,61.29,58.37,58.46,1796834,2020-02-27 01:00:00-05:00
57.74,57.76,55.45,57.44,2945335,2020-02-28 01:00:00-05:00
57.67,60.395,57.51,60.29,1555895,2020-03-02 01:00:00-05:00
60.17,61.42,58.67,58.92,1558233,2020-03-03 01:00:00-05:00
60.07,62.34,59.16,62.06,1555417,2020-03-04 01:00:00-05:00
60.71,61.74,59.86,61.71,1221609,2020-03-05 01:00:00-05:00
60.04,60.65,58.58,60.44,2133063,2020-03-06 01:00:00-05:00
57.18,57.9,55.8,56.2,1514076,2020-03-09 01:00:00-04:00
57.29,58.13,54.85,57.98,1435458,2020-03-10 01:00:00-04:00
56.52,56.81,54.47,55.35,2340283,2020-03-11 01:00:00-04:00
52.21,54.54,50.91,51.64,2390493,2020-03-12 01:00:00-04:00
53.77,55.48,51.45,55.25,2677870,2020-03-13 01:00:00-04:00
50.8,51.91,44.88,44.94,2230456,2020-03-16 01:00:00-04:00
46.16,48.32,42.34,47.68,2169609,2020-03-17 01:00:00-04:00
45.12,45.29,36.76,37.79,1820281,2020-03-18 01:00:00-04:00
37.76,40.53,35.21,37.53,1660458,2020-03-19 01:00:00-04:00
37.72,39.91,34.47,35.3,2502655,2020-03-20 01:00:00-04:00
35.32,35.78,32.84,34.88,2953880,2020-03-23 01:00:00-04:00
36.94,39.61,35.77,39.45,2582945,2020-03-24 01:00:00-04:00
41.52,43.81,38.96,41.24,1841406,2020-03-25 01:00:00-04:00
41.75,42.99,38.59,42.34,1909105,2020-03-26 01:00:00-04:00
40.64,41.53,39.72,40.49,1880153,2020-03-27 01:00:00-04:00
40.43,42.45,38.78,39.95,1944674,2020-03-30 01:00:00-04:00
39.57,40.42,37.43,38.43,2193506,2020-03-31 01:00:00-04:00
36.39,36.41,34.4,35.535,2015973,2020-04-01 01:00:00-04:00
34.94,36.38,32.2,33.2,1938141,2020-04-02 01:00:00-04:00
33.21,34.11,31.8,32.27,2190259,2020-04-03 01:00:00-04:00
36.09,37.43,34.48,35.15,2814761,2020-04-06 01:00:00-04:00
37.72,38.72,36.63,36.77,2760928,2020-04-07 01:00:00-04:00
37.49,41.03,36.67,40.89,1763535,2020-04-08 01:00:00-04:00
42.31,45.58,42.21,44.12,2800039,2020-04-09 01:00:00-04:00
44.0732,44.0732,42.12,43.13,1299760,2020-04-13 01:00:00-04:00
43.26,44.45,42.96,43.95,1636683,2020-04-14 01:00:00-04:00
41.56,42.83,40.0,41.31,1262792,2020-04-15 01:00:00-04:00
41.13,41.74,37.0,37.07,1604605,2020-04-16 01:00:00-04:00
39.01,39.745,38.22,38.66,1467264,2020-04-17 01:00:00-04:00
37.34,38.2,36.33,37.19,2301105,2020-04-20 01:00:00-04:00
35.77,36.74,35.21,35.59,1381521,2020-04-21 01:00:00-04:00
35.55,36.07,34.88,35.44,1614574,2020-04-22 01:00:00-04:00
35.8,36.99,35.08,35.62,2042648,2020-04-23 01:00:00-04:00
35.75,36.105,34.84,35.43,1568672,2020-04-24 01:00:00-04:00
35.21,37.815,35.0,37.44,1237311,2020-04-27 01:00:00-04:00
38.97,42.0,38.7326,40.53,1596972,2020-04-28 01:00:00-04:00
42.06,45.89,41.62,44.41,2762936,2020-04-29 01:00:00-04:00
43.47,44.49,42.4701,43.91,2539125,2020-04-30 01:00:00-04:00
42.48,43.14,40.57,40.92,1379988,2020-05-01 01:00:00-04:00
39.48,40.42,39.03,40.23,1057818,2020-05-04 01:00:00-04:00
40.9,41.97,40.08,40.32,1465386,2020-05-05 01:00:00-04:00
40.01,41.0,37.87,38.13,1057948,2020-05-06 01:00:00-04:00
38.65,40.22,38.52,39.12,1271038,2020-05-07 01:00:00-04:00
40.96,43.11,39.72,41.96,1482489,2020-05-08 01:00:00-04:00
41.47,41.99,39.82,40.58,1128894,2020-05-11 01:00:00-04:00
40.64,40.825,38.36,38.51,1638833,2020-05-12 01:00:00-04:00
38.05,38.09,35.86,36.07,1186816,2020-05-13 01:00:00-04:00
35.35,36.94,33.56,36.51,2250387,2020-05-14 01:00:00-04:00
35.46,36.93,34.4107,36.81,3842408,2020-05-15 01:00:00-04:00
38.48,41.77,38.48,41.315,1609931,2020-05-18 01:00:00-04:00
41.22,42.065,40.045,41.65,2108912,2020-05-19 01:00:00-04:00
41.65,42.22,40.66,41.37,1305199,2020-05-20 01:00:00-04:00
40.71,42.62,40.71,42.09,1652594,2020-05-21 01:00:00-04:00
42.6,42.6,40.57,41.26,981287,2020-05-22 01:00:00-04:00
43.26,45.26,43.02,45.12,1541007,2020-05-26 01:00:00-04:00
46.33,46.86,44.679,45.845,1743953,2020-05-27 01:00:00-04:00
46.71,46.71,44.15,44.69,1657956,2020-05-28 01:00:00-04:00
43.56,44.31,42.69,42.79,1725515,2020-05-29 01:00:00-04:00
42.97,45.725,42.75,45.4,991375,2020-06-01 01:00:00-04:00
45.9,46.405,45.325,45.79,1465991,2020-06-02 01:00:00-04:00
46.58,50.25,46.58,49.25,1424651,2020-06-03 01:00:00-04:00
48.81,50.33,47.79,49.81,1184039,2020-06-04 01:00:00-04:00
52.42,54.57,50.61,50.8,2260051,2020-06-05 01:00:00-04:00
50.56,54.26,50.56,53.7,1510298,2020-06-08 01:00:00-04:00
51.7,52.01,50.56,50.78,1254468,2020-06-09 01:00:00-04:00
50.01,50.1,47.01,48.16,1760309,2020-06-10 01:00:00-04:00
45.47,46.5,44.22,44.72,1864815,2020-06-11 01:00:00-04:00
47.78,48.05,45.75,47.89,1569109,2020-06-12 01:00:00-04:00
45.66,48.47,45.43,47.94,1221754,2020-06-15 01:00:00-04:00
49.86,50.77,48.11,49.07,1529972,2020-06-16 01:00:00-04:00
49.15,49.21,46.77,46.86,1034854,2020-06-17 01:00:00-04:00
45.45,47.1,45.265,46.45,960551,2020-06-18 01:00:00-04:00
46.52,47.9,44.14,44.635,3439106,2020-06-19 01:00:00-04:00
44.42,45.47,43.72,45.41,1489633,2020-06-22 01:00:00-04:00
46.46,46.87,45.2,46.13,1228040,2020-06-23 01:00:00-04:00
45.31,45.3107,42.49,44.36,1193487,2020-06-24 01:00:00-04:00
43.96,45.29,43.6,45.075,937108,2020-06-25 01:00:00-04:00
44.84,45.47,43.82,44.49,1191047,2020-06-26 01:00:00-04:00
45.46,45.86,44.0,45.82,867671,2020-06-29 01:00:00-04:00
45.96,46.98,45.27,45.89,978107,2020-06-30 01:00:00-04:00
46.39,47.27,45.91,46.17,824922,2020-07-01 01:00:00-04:00
47.45,47.81,45.385,45.73,685754,2020-07-02 01:00:00-04:00
46.95,47.83,45.48,45.98,1058166,2020-07-06 01:00:00-04:00
45.33,45.33,43.8,44.09,734327,2020-07-07 01:00:00-04:00
43.91,44.14,42.77,43.4,1198648,2020-07-08 01:00:00-04:00
43.17,43.275,41.18,42.12,889536,2020-07-09 01:00:00-04:00
42.1,43.71,42.05,42.94,940123,2020-07-10 01:00:00-04:00
43.38,43.75,42.19,42.59,908478,2020-07-13 01:00:00-04:00
43.17,43.19,41.72,42.07,1067589,2020-07-14 01:00:00-04:00
43.11,43.77,42.38,42.965,1356115,2020-07-15 01:00:00-04:00
42.53,42.94,41.91,42.1,790838,2020-07-16 01:00:00-04:00
42.44,42.44,41.635,41.7,693741,2020-07-17 01:00:00-04:00
41.65,41.89,40.67,41.17,1266879,2020-07-20 01:00:00-04:00
40.89,41.69,40.36,40.58,1453994,2020-07-21 01:00:00-04:00
40.46,41.55,40.05,41.37,1171089,2020-07-22 01:00:00-04:00
41.05,41.46,39.85,40.43,930370,2020-07-23 01:00:00-04:00
40.48,40.79,39.855,39.96,1157106,2020-07-24 01:00:00-04:00
39.16,40.03,38.48,39.91,1246434,2020-07-27 01:00:00-04:00
39.65,42.31,39.49,41.75,1384595,2020-07-28 01:00:00-04:00
42.24,42.47,41.08,42.11,1123000,2020-07-29 01:00:00-04:00
41.14,42.06,40.33,41.81,896356,2020-07-30 01:00:00-04:00
41.68,41.68,40.1,41.03,3933234,2020-07-31 01:00:00-04:00
40.57,40.91,39.74,40.59,1182621,2020-08-03 01:00:00-04:00
40.77,41.27,39.43,41.06,1457290,2020-08-04 01:00:00-04:00
41.65,41.98,40.81,40.98,757809,2020-08-05 01:00:00-04:00
40.36,41.75,40.22,40.96,781897,2020-08-06 01:00:00-04:00
40.43,41.7,40.18,41.65,678580,2020-08-07 01:00:00-04:00
41.55,43.735,41.51,42.87,1249309,2020-08-10 01:00:00-04:00
43.66,44.815,43.31,43.5,1281359,2020-08-11 01:00:00-04:00
43.96,44.24,42.78,43.67,975604,2020-08-12 01:00:00-04:00
42.92,43.34,42.21,42.49,1049225,2020-08-13 01:00:00-04:00
42.4,43.48,42.03,42.88,921944,2020-08-14 01:00:00-04:00
42.42,43.02,42.14,42.72,488301,2020-08-17 01:00:00-04:00
42.9,42.9,41.28,41.82,583011,2020-08-18 01:00:00-04:00
41.25,41.7,40.15,40.2,753272,2020-08-19 01:00:00-04:00
40.2,41.48,40.0,41.15,1158658,2020-08-20 01:00:00-04:00
41.26,41.31,40.135,40.46,616358,2020-08-21 01:00:00-04:00
40.47,41.31,39.9,41.05,826520,2020-08-24 01:00:00-04:00
41.4,41.59,40.22,40.95,685650,2020-08-25 01:00:00-04:00
41.18,41.19,39.88,40.1,782444,2020-08-26 01:00:00-04:00
40.63,41.31,40.54,40.65,749906,2020-08-27 01:00:00-04:00
40.66,40.66,39.565,40.44,1092367,2020-08-28 01:00:00-04:00
40.6,40.6,39.35,39.71,1382597,2020-08-31 01:00:00-04:00
39.33,39.62,38.88,39.4,1008315,2020-09-01 01:00:00-04:00
39.48,41.13,39.09,41.03,2427227,2020-09-02 01:00:00-04:00
41.12,42.23,40.71,41.23,1181076,2020-09-03 01:00:00-04:00
41.43,42.36,41.25,41.53,903399,2020-09-04 01:00:00-04:00
41.32,41.47,40.57,40.97,1712593,2020-09-08 01:00:00-04:00
41.18,41.62,40.29,40.87,1550723,2020-09-09 01:00:00-04:00
40.97,41.0,39.27,39.34,1750589,2020-09-10 01:00:00-04:00
39.23,39.435,37.88,38.6,1300106,2020-09-11 01:00:00-04:00
38.85,40.24,38.83,40.04,1772466,2020-09-14 01:00:00-04:00
40.52,41.53,40.22,41.21,1529207,2020-09-15 01:00:00-04:00
41.34,41.9,40.89,41.61,1603125,2020-09-16 01:00:00-04:00
41.03,41.49,40.6,41.29,1400405,2020-09-17 01:00:00-04:00
41.07,41.48,39.96,40.07,4732984,2020-09-18 01:00:00-04:00
39.42,39.42,36.83,37.21,2275204,2020-09-21 01:00:00-04:00
37.29,38.155,37.19,37.26,1804856,2020-09-22 01:00:00-04:00
37.22,37.73,36.15,36.525,1056136,2020-09-23 01:00:00-04:00
36.55,37.46,35.99,36.78,974296,2020-09-24 01:00:00-04:00
36.59,37.57,36.42,37.42,844792,2020-09-25 01:00:00-04:00
38.59,39.07,38.19,38.56,940900,2020-09-28 01:00:00-04:00
38.25,38.6399,37.0,37.77,785755,2020-09-29 01:00:00-04:00
38.14,38.78,37.575,38.02,1268900,2020-09-30 01:00:00-04:00
38.05,39.41,38.05,39.4,1139513,2020-10-01 01:00:00-04:00
38.57,40.38,38.22,40.2,1215806,2020-10-02 01:00:00-04:00
40.62,40.8,39.455,40.11,882852,2020-10-05 01:00:00-04:00
40.48,40.85,39.75,39.95,898581,2020-10-06 01:00:00-04:00
40.24,40.34,39.165,39.43,679764,2020-10-07 01:00:00-04:00
39.73,40.47,39.58,40.44,1953096,2020-10-08 01:00:00-04:00
40.93,40.93,39.45,39.58,665742,2020-10-09 01:00:00-04:00
39.52,40.01,39.0349,39.75,554999,2020-10-12 01:00:00-04:00
39.26,39.52,37.94,38.24,890343,2020-10-13 01:00:00-04:00
38.4,38.72,37.44,37.66,722396,2020-10-14 01:00:00-04:00
37.36,38.69,37.28,38.54,675898,2020-10-15 01:00:00-04:00
38.61,38.61,37.2,37.54,648676,2020-10-16 01:00:00-04:00
37.8,37.8,36.92,37.0,830465,2020-10-19 01:00:00-04:00
37.41,37.84,37.25,37.5,587211,2020-10-20 01:00:00-04:00
37.31,37.42,36.77,37.14,520759,2020-10-21 01:00:00-04:00
37.16,38.28,37.06,38.18,684921,2020-10-22 01:00:00-04:00
38.47,38.92,37.82,38.29,731626,2020-10-23 01:00:00-04:00
37.86,38.29,37.12,37.55,753920,2020-10-26 01:00:00-04:00
37.34,37.79,36.22,36.22,715613,2020-10-27 01:00:00-04:00
35.58,35.94,35.04,35.36,834438,2020-10-28 01:00:00-04:00
35.04,36.02,34.57,35.46,1113021,2020-10-29 01:00:00-04:00
35.49,35.88,34.62,35.59,826477,2020-10-30 01:00:00-04:00
35.88,36.26,35.11,36.2,887084,2020-11-02 01:00:00-05:00
36.88,37.72,36.37,37.43,1389337,2020-11-03 01:00:00-05:00
37.72,37.72,35.85,35.9,1099668,2020-11-04 01:00:00-05:00
36.2,36.76,35.75,36.18,898850,2020-11-05 01:00:00-05:00
36.58,36.71,33.29,34.05,2641846,2020-11-06 01:00:00-05:00
38.0,47.22,37.63,45.96,5281189,2020-11-09 01:00:00-05:00
45.95,48.12,45.75,46.75,2789186,2020-11-10 01:00:00-05:00
46.34,46.64,44.07,46.07,2857034,2020-11-11 01:00:00-05:00
46.91,46.91,42.95,43.9,1851010,2020-11-12 01:00:00-05:00
44.47,45.99,43.92,45.73,922515,2020-11-13 01:00:00-05:00
47.83,49.52,46.62,49.01,1537826,2020-11-16 01:00:00-05:00
48.15,48.89,47.18,48.27,779114,2020-11-17 01:00:00-05:00
48.06,49.825,47.04,47.12,1453936,2020-11-18 01:00:00-05:00
46.28,47.955,45.31,47.76,1030337,2020-11-19 01:00:00-05:00
47.72,47.83,46.83,47.26,816386,2020-11-20 01:00:00-05:00
47.78,49.58,47.25,48.46,1370645,2020-11-23 01:00:00-05:00
49.33,50.65,48.7,48.79,1680407,2020-11-24 01:00:00-05:00
48.3,48.3,47.0,47.59,1154599,2020-11-25 01:00:00-05:00
47.37,47.86,46.68,46.89,369954,2020-11-27 01:00:00-05:00
46.54,46.72,45.3,45.58,1689381,2020-11-30 01:00:00-05:00
46.34,47.61,46.02,46.55,1463263,2020-12-01 01:00:00-05:00
45.77,47.84,45.58,47.53,1233154,2020-12-02 01:00:00-05:00
47.99,49.05,47.61,48.36,1126687,2020-12-03 01:00:00-05:00
48.77,49.3799,48.71,49.08,932297,2020-12-04 01:00:00-05:00
48.42,49.26,47.83,48.08,638037,2020-12-07 01:00:00-05:00
47.38,48.63,47.38,47.73,844284,2020-12-08 01:00:00-05:00
48.26,48.26,47.28,47.7,840803,2020-12-09 01:00:00-05:00
47.43,47.98,47.19,47.61,950384,2020-12-10 01:00:00-05:00
47.13,47.58,46.62,47.08,806552,2020-12-11 01:00:00-05:00
47.74,48.22,46.59,46.88,856633,2020-12-14 01:00:00-05:00
46.25,47.95,46.1,47.88,1234450,2020-12-15 01:00:00-05:00
47.85,47.93,46.57,47.34,1204949,2020-12-16 01:00:00-05:00
47.31,47.61,46.75,47.49,1261549,2020-12-17 01:00:00-05:00
47.49,47.52,45.58,45.93,2603833,2020-12-18 01:00:00-05:00
45.41,45.54,44.43,45.24,920139,2020-12-21 01:00:00-05:00
45.59,45.7599,44.69,45.24,1167188,2020-12-22 01:00:00-05:00
45.76,46.14,45.01,45.16,654387,2020-12-23 01:00:00-05:00
45.58,45.68,44.82,45.41,261285,2020-12-24 01:00:00-05:00
45.6,46.35,45.39,45.765,678839,2020-12-28 01:00:00-05:00
46.08,46.72,44.92,45.31,744874,2020-12-29 01:00:00-05:00
45.62,46.46,45.355,45.59,712835,2020-12-30 01:00:00-05:00
45.73,45.73,44.82,45.59,868789,2020-12-31 01:00:00-05:00
45.77,46.38,43.8967,44.27,1749412,2021-01-04 01:00:00-05:00
44.92,45.32,44.13,44.3,1256421,2021-01-05 01:00:00-05:00
44.97,46.18,44.94,45.6,1213784,2021-01-06 01:00:00-05:00
45.22,45.72,44.77,45.01,1172554,2021-01-07 01:00:00-05:00
45.09,45.51,44.75,45.49,1067067,2021-01-08 01:00:00-05:00
44.77,45.08,43.49,44.02,1206413,2021-01-11 01:00:00-05:00
43.95,44.79,43.9,44.75,747676,2021-01-12 01:00:00-05:00
44.64,46.52,44.64,46.37,1309993,2021-01-13 01:00:00-05:00
47.115,47.53,46.3,47.06,1060420,2021-01-14 01:00:00-05:00
46.66,47.22,46.09,47.07,1591996,2021-01-15 01:00:00-05:00
47.25,47.25,45.8,46.94,783603,2021-01-19 01:00:00-05:00
47.1,48.67,46.24,48.17,944804,2021-01-20 01:00:00-05:00
47.48,47.86,46.36,46.85,1016819,2021-01-21 01:00:00-05:00
46.49,47.05,46.08,46.93,1331116,2021-01-22 01:00:00-05:00
46.96,48.65,46.5,47.7,1723967,2021-01-25 01:00:00-05:00
48.11,48.62,47.17,47.93,1005308,2021-01-26 01:00:00-05:00
47.39,48.61,46.875,47.13,1379060,2021-01-27 01:00:00-05:00
47.43,48.978,46.96,47.68,1387851,2021-01-28 01:00:00-05:00
47.13,48.31,46.35,47.18,4012305,2021-01-29 01:00:00-05:00
47.86,47.86,45.57,46.94,1265853,2021-02-01 01:00:00-05:00
47.28,47.32,46.39,46.87,1005976,2021-02-02 01:00:00-05:00
46.81,47.85,46.09,47.6,1221819,2021-02-03 01:00:00-05:00
47.67,49.5,47.23,49.17,1320237,2021-02-04 01:00:00-05:00
49.76,49.93,48.98,49.11,1231723,2021-02-05 01:00:00-05:00
49.01,49.375,48.47,48.96,1106787,2021-02-08 01:00:00-05:00
49.34,49.88,49.0,49.54,656161,2021-02-09 01:00:00-05:00
49.68,50.98,49.6001,50.16,852571,2021-02-10 01:00:00-05:00
50.59,51.34,49.92,51.25,1135272,2021-02-11 01:00:00-05:00
50.79,52.73,50.53,52.62,1187497,2021-02-12 01:00:00-05:00
52.63,53.345,51.96,52.23,1165111,2021-02-16 01:00:00-05:00
51.99,53.25,51.94,53.21,865642,2021-02-17 01:00:00-05:00
52.93,53.59,52.571,53.49,1079033,2021-02-18 01:00:00-05:00
53.5,53.83,52.5999,52.8,1145141,2021-02-19 01:00:00-05:00
53.06,54.7,52.695,53.81,1314652,2021-02-22 01:00:00-05:00
54.49,55.38,53.9,55.22,803131,2021-02-23 01:00:00-05:00
55.11,56.38,54.52,56.3,1000252,2021-02-24 01:00:00-05:00
55.0,56.66,54.0,55.25,1378987,2021-02-25 01:00:00-05:00
54.85,55.2,53.8025,54.78,1696742,2021-02-26 01:00:00-05:00
55.56,56.53,55.29,55.29,1305377,2021-03-01 01:00:00-05:00
55.17,55.17,53.83,54.155,1671150,2021-03-02 01:00:00-05:00
53.97,57.15,53.78,56.66,1855574,2021-03-03 01:00:00-05:00
56.18,57.16,55.28,56.28,1620218,2021-03-04 01:00:00-05:00
56.84,57.985,55.35,57.68,1303675,2021-03-05 01:00:00-05:00
58.24,59.73,57.38,59.18,846883,2021-03-08 01:00:00-05:00
58.73,58.86,57.55,58.55,2006806,2021-03-09 01:00:00-05:00
58.18,60.15,58.01,59.65,1955712,2021-03-10 01:00:00-05:00
59.02,60.14,58.84,58.98,1749113,2021-03-11 01:00:00-05:00
58.87,59.5,58.09,59.15,1014468,2021-03-12 01:00:00-05:00
59.26,59.54,57.69,58.97,1051290,2021-03-15 01:00:00-04:00
59.25,59.25,57.75,58.45,1398865,2021-03-16 01:00:00-04:00
58.3,58.85,57.86,58.15,1269101,2021-03-17 01:00:00-04:00
58.19,58.73,57.28,57.43,1328405,2021-03-18 01:00:00-04:00
57.43,57.5,55.9,56.06,2288255,2021-03-19 01:00:00-04:00
56.0,56.12,55.14,55.97,813840,2021-03-22 01:00:00-04:00
55.94,56.02,54.63,54.85,757036,2021-03-23 01:00:00-04:00
55.1,56.67,55.1,55.4,1023144,2021-03-24 01:00:00-04:00
54.98,57.11,54.5,57.05,1405857,2021-03-25 01:00:00-04:00
57.82,58.01,56.83,57.97,1033608,2021-03-26 01:00:00-04:00
57.11,57.56,56.11,56.75,1055845,2021-03-29 01:00:00-04:00
56.72,57.37,55.9999,57.07,1049081,2021-03-30 01:00:00-04:00
56.58,57.2,56.19,56.71,1646040,2021-03-31 01:00:00-04:00
56.93,57.66,56.51,57.62,959139,2021-04-01 01:00:00-04:00
57.94,58.02,56.46,57.28,1620428,2021-04-05 01:00:00-04:00
57.34,57.62,56.81,57.28,1533158,2021-04-06 01:00:00-04:00
57.49,58.31,56.96,58.27,988755,2021-04-07 01:00:00-04:00
57.96,58.3,57.57,58.02,881952,2021-04-08 01:00:00-04:00
58.66,58.66,57.9275,58.36,1318969,2021-04-09 01:00:00-04:00
58.43,58.66,57.44,58.35,951702,2021-04-12 01:00:00-04:00
57.86,59.26,57.86,59.22,1304144,2021-04-13 01:00:00-04:00
59.07,59.67,58.0,58.18,1145681,2021-04-14 01:00:00-04:00
58.5,59.32,58.5,59.13,1257039,2021-04-15 01:00:00-04:00
59.63,59.64,58.805,59.46,690315,2021-04-16 01:00:00-04:00
59.5,59.86,58.73,59.76,886309,2021-04-19 01:00:00-04:00
59.32,60.5,59.32,60.13,895858,2021-04-20 01:00:00-04:00
60.09,61.78,59.8,61.73,1049224,2021-04-21 01:00:00-04:00
61.69,62.96,61.36,61.72,1798852,2021-04-22 01:00:00-04:00
61.95,62.285,61.265,62.12,812348,2021-04-23 01:00:00-04:00
62.41,63.06,62.07,62.37,665681,2021-04-26 01:00:00-04:00
62.4,63.3,62.1,62.97,663452,2021-04-27 01:00:00-04:00
63.35,63.48,62.52,62.67,704589,2021-04-28 01:00:00-04:00
63.3,64.19,63.09,63.63,568087,2021-04-29 01:00:00-04:00
63.64,63.91,63.1,63.66,1062292,2021-04-30 01:00:00-04:00
64.13,64.63,63.56,63.92,959282,2021-05-03 01:00:00-04:00
64.02,64.75,63.16,63.43,993208,2021-05-04 01:00:00-04:00
63.23,63.325,62.3,62.54,1259558,2021-05-05 01:00:00-04:00
63.05,64.04,62.78,63.82,1393391,2021-05-06 01:00:00-04:00
63.82,66.36,63.8,65.36,1317623,2021-05-07 01:00:00-04:00
66.12,67.14,65.38,65.43,973874,2021-05-10 01:00:00-04:00
64.86,65.25,63.95,64.52,1022572,2021-05-11 01:00:00-04:00
64.37,64.63,62.45,62.62,1455134,2021-05-12 01:00:00-04:00
62.52,63.47,62.21,63.04,1191033,2021-05-13 01:00:00-04:00
63.36,64.01,63.18,63.77,731745,2021-05-14 01:00:00-04:00
63.95,63.95,63.28,63.6,998194,2021-05-17 01:00:00-04:00
63.52,64.345,63.13,63.63,804090,2021-05-18 01:00:00-04:00
63.19,63.3,61.66,62.79,1117067,2021-05-19 01:00:00-04:00
63.17,63.4,62.09,62.75,1587896,2021-05-20 01:00:00-04:00
62.62,63.6,62.2,63.36,1064455,2021-05-21 01:00:00-04:00
64.06,64.06,63.31,63.72,948806,2021-05-24 01:00:00-04:00
63.75,64.32,63.26,63.31,867853,2021-05-25 01:00:00-04:00
62.982,64.28,62.86,63.98,793175,2021-05-26 01:00:00-04:00
64.39,64.71,63.89,64.12,3253765,2021-05-27 01:00:00-04:00
64.71,64.94,64.12,64.6,874590,2021-05-28 01:00:00-04:00
64.76,66.54,64.6,66.35,859598,2021-06-01 01:00:00-04:00
66.67,67.535,66.035,67.44,914195,2021-06-02 01:00:00-04:00
67.47,67.59,66.48,66.81,874137,2021-06-03 01:00:00-04:00
66.81,66.84,65.66,65.79,963302,2021-06-04 01:00:00-04:00
65.9,67.22,65.83,66.8,841512,2021-06-07 01:00:00-04:00
66.82,67.97,66.82,67.6,1071646,2021-06-08 01:00:00-04:00
67.64,67.99,67.31,67.54,902944,2021-06-09 01:00:00-04:00
67.72,68.4,67.32,68.06,861965,2021-06-10 01:00:00-04:00
68.34,68.34,67.27,68.2,938084,2021-06-11 01:00:00-04:00
67.38,68.09,66.39,66.84,869162,2021-06-14 01:00:00-04:00
66.61,66.95,65.98,66.32,776452,2021-06-15 01:00:00-04:00
66.22,66.74,65.5,65.58,1413402,2021-06-16 01:00:00-04:00
65.73,65.91,64.1,64.82,802267,2021-06-17 01:00:00-04:00
64.12,65.31,63.09,63.33,2582567,2021-06-18 01:00:00-04:00
63.87,65.67,63.73,65.45,1093352,2021-06-21 01:00:00-04:00
65.34,65.42,64.58,64.6,713790,2021-06-22 01:00:00-04:00
64.64,65.33,64.44,64.82,762557,2021-06-23 01:00:00-04:00
64.77,65.04,64.25,64.56,717976,2021-06-24 01:00:00-04:00
64.52,65.21,64.33,65.06,846515,2021-06-25 01:00:00-04:00
65.1,65.27,63.67,64.23,604242,2021-06-28 01:00:00-04:00
64.37,65.24,64.195,64.41,698837,2021-06-29 01:00:00-04:00
